"FileName","NJRFScore","MLRFScore","NJCI","MLCI"
"PF00066_sc_4_4",0,0,0.0805521168350218,0.0774051331435122
"PF00066_sc_4_5",0,0,0.0867809634998131,0.0807694781858968
"PF00066_sc_4_6",0,0,0.0829934295146347,0.0761182206531257
"PF00066_sc_4_7",0,0,0.0889620450790444,0.0838310586557349
"PF00066_sc_4_8",0,0,0.0908664873163512,0.0821681245029523
"PF00066_sc_4_9",0,0,0.0847305068854491,0.0793976827586841
"PF00066_sc_5_0",0,0,0.0951677788557917,0.0899156966831138
"PF00066_sc_5_1",0,0,0.105614751474187,0.0969012334788291
"PF00066_sc_5_10",0,0,0.0859918411649552,0.080916377374238
"PF00066_sc_5_11",0,0,0.10731026873023,0.105859303581827
"PF00066_sc_5_2",0,0,0.0878441623673113,0.083274937247979
