"FileName","NJRFScore","MLRFScore","NJCI","MLCI"
"PF00066_sc_11_9",0.188118811881188,0.138613861386139,0.345727547401255,0.282384669150998
"PF00066_sc_2_0",0,0,0.0860856578610982,0.0806137768969901
"PF00066_sc_2_1",0,0,0.0858318881882381,0.0821077673468657
"PF00066_sc_2_10",0,0,0.0976298432180832,0.088967660169203
"PF00066_sc_2_11",0,0,0.0918926565879189,0.0849783774964131
"PF00066_sc_2_2",0,0,0.0876122126877634,0.0830819755223107
"PF00066_sc_2_3",0,0,0.0900060352944605,0.0838092287356478
"PF00066_sc_2_4",0,0,0.0969703585187256,0.0917319778224244
"PF00066_sc_2_5",0,0,0.11069096257328,0.104102683938804
"PF00066_sc_2_6",0,0,0.0899666074039159,0.080278878164842
"PF00066_sc_2_7",0,0,0.0881897904376067,0.0821664659531569
"PF00066_sc_2_8",0,0,0.0848412461062582,0.0781446725674607
"PF00066_sc_2_9",0.0396039603960396,0.0594059405940594,0.207308937759968,0.189059734687474
"PF00066_sc_3_0",0,0,0.0859008678837913,0.0796632501888274
"PF00066_sc_3_1",0,0,0.09213693091488,0.0841591487749778
"PF00066_sc_3_10",0,0,0.0644720717888723,0.0602598760340756
"PF00066_sc_3_11",0,0,0.0895428896543846,0.0828236870896123
"PF00066_sc_3_2",0,0,0.0879058462845851,0.0801196068340922
"PF00066_sc_3_3",0,0,0.0946389303029275,0.0833620019785732
"PF00066_sc_3_4",0,0,0.0925370898499445,0.0881375454132455
"PF00066_sc_3_5",0,0,0.0909639104941835,0.0853931308358332
"PF00066_sc_3_6",0,0,0.0480211565307303,0.0507564322729334
"PF00066_sc_3_7",0,0,0.0894137639152106,0.080579618754752
"PF00066_sc_3_8",0,0,0.255692900454151,0.277205186561127
"PF00066_sc_3_9",0,0,0.0893671606423983,0.0803898566246308
"PF00066_sc_4_0",0,0,0.0888072324590946,0.0848365757916362
"PF00066_sc_4_1",0,0,0.107130619928695,0.0983180444742736
"PF00066_sc_4_10",0,0,0.0734655247285167,0.0707898259535037
"PF00066_sc_4_11",0,0,0.0883286719495164,0.0801158532297183
"PF00066_sc_4_2",0,0,0.0937551639342803,0.0873953850778821
"PF00066_sc_4_3",0,0,0.0820015565908307,0.0768380869745212
"PF00066_sc_4_4",0,0,0.0825481617656547,0.0792568615627213
"PF00066_sc_4_5",0,0,0.0905013304203585,0.0863377127222713
"PF00066_sc_4_6",0,0,0.0835273435356783,0.0777869327998721
"PF00066_sc_4_7",0,0,0.0911136608203758,0.0855775280718693
"PF00066_sc_4_8",0,0,0.0893837692872095,0.081807368891228
"PF00066_sc_4_9",0,0,0.0838627700826508,0.0781128554387325
"PF00066_sc_5_0",0,0,0.0964140914714128,0.0913628058117609
"PF00066_sc_5_1",0,0,0.107694886104175,0.0971231941837538
"PF00066_sc_5_10",0,0,0.0872009522188174,0.0824129295690031
"PF00066_sc_5_11",0,0,0.106291915927465,0.0957620796602065
"PF00066_sc_5_2",0,0,0.088429421748301,0.0826410765560796
"PF00066_sc_5_3",0,0,0.0869698782298529,0.0834281124459601
